Datum,1NP901A
10.7.1999. 00:00:00,74.27
15.7.1999. 00:00:00,74.27
20.7.1999. 00:00:00,74.32
25.7.1999. 00:00:00,74.32
1.8.1999. 00:00:00,74.32
5.8.1999. 00:00:00,74.32
10.8.1999. 00:00:00,74.37
15.8.1999. 00:00:00,74.37
20.8.1999. 00:00:00,74.37
25.8.1999. 00:00:00,74.37
1.9.1999. 00:00:00,74.37
5.9.1999. 00:00:00,74.37
10.9.1999. 00:00:00,74.34
15.9.1999. 00:00:00,74.34
20.9.1999. 00:00:00,74.36
25.9.1999. 00:00:00,74.37
1.10.1999. 00:00:00,74.37
5.10.1999. 00:00:00,74.37
10.10.1999. 00:00:00,74.34
15.10.1999. 00:00:00,74.32
20.10.1999. 00:00:00,74.32
25.10.1999. 00:00:00,74.31
1.11.1999. 00:00:00,74.31
5.11.1999. 00:00:00,74.31
