Datum,1NPPL-111
1.6.2009. 00:00:00,371
2.6.2009. 00:00:00,364
3.6.2009. 00:00:00,365
4.6.2009. 00:00:00,364
5.6.2009. 00:00:00,360
6.6.2009. 00:00:00,355
7.6.2009. 00:00:00,356
8.6.2009. 00:00:00,351
9.6.2009. 00:00:00,356
10.6.2009. 00:00:00,365
11.6.2009. 00:00:00,373
12.6.2009. 00:00:00,378
13.6.2009. 00:00:00,381
14.6.2009. 00:00:00,385
15.6.2009. 00:00:00,388
16.6.2009. 00:00:00,392
17.6.2009. 00:00:00,393
18.6.2009. 00:00:00,395
19.6.2009. 00:00:00,397
20.6.2009. 00:00:00,399
21.6.2009. 00:00:00,391
22.6.2009. 00:00:00,389
23.6.2009. 00:00:00,392
24.6.2009. 00:00:00,394
25.6.2009. 00:00:00,394
26.6.2009. 00:00:00,385
27.6.2009. 00:00:00,389
28.6.2009. 00:00:00,391
29.6.2009. 00:00:00,388
30.6.2009. 00:00:00,378
1.7.2009. 00:00:00,363
2.7.2009. 00:00:00,350
3.7.2009. 00:00:00,334
4.7.2009. 00:00:00,282
5.7.2009. 00:00:00,295
6.7.2009. 00:00:00,294
7.7.2009. 00:00:00,293
8.7.2009. 00:00:00,279
9.7.2009. 00:00:00,290
10.7.2009. 00:00:00,289
11.7.2009. 00:00:00,288
12.7.2009. 00:00:00,297
13.7.2009. 00:00:00,291
14.7.2009. 00:00:00,291
15.7.2009. 00:00:00,293
16.7.2009. 00:00:00,301
17.7.2009. 00:00:00,310
18.7.2009. 00:00:00,319
19.7.2009. 00:00:00,332
20.7.2009. 00:00:00,336
21.7.2009. 00:00:00,345
22.7.2009. 00:00:00,356
23.7.2009. 00:00:00,365
24.7.2009. 00:00:00,372
25.7.2009. 00:00:00,377
26.7.2009. 00:00:00,380
27.7.2009. 00:00:00,379
28.7.2009. 00:00:00,373
29.7.2009. 00:00:00,372
30.7.2009. 00:00:00,377
31.7.2009. 00:00:00,382
1.8.2009. 00:00:00,384
2.8.2009. 00:00:00,387
3.8.2009. 00:00:00,388
4.8.2009. 00:00:00,387
5.8.2009. 00:00:00,387
6.8.2009. 00:00:00,388
7.8.2009. 00:00:00,389
8.8.2009. 00:00:00,392
9.8.2009. 00:00:00,395
10.8.2009. 00:00:00,398
11.8.2009. 00:00:00,396
12.8.2009. 00:00:00,397
13.8.2009. 00:00:00,399
14.8.2009. 00:00:00,400
15.8.2009. 00:00:00,401
16.8.2009. 00:00:00,402
17.8.2009. 00:00:00,403
18.8.2009. 00:00:00,405
19.8.2009. 00:00:00,407
20.8.2009. 00:00:00,409
21.8.2009. 00:00:00,410
22.8.2009. 00:00:00,412
23.8.2009. 00:00:00,413
24.8.2009. 00:00:00,414
25.8.2009. 00:00:00,415
26.8.2009. 00:00:00,417
27.8.2009. 00:00:00,418
28.8.2009. 00:00:00,419
29.8.2009. 00:00:00,420
30.8.2009. 00:00:00,416
31.8.2009. 00:00:00,420
1.9.2009. 00:00:00,422
2.9.2009. 00:00:00,423
3.9.2009. 00:00:00,423
4.9.2009. 00:00:00,424
5.9.2009. 00:00:00,425
6.9.2009. 00:00:00,426
7.9.2009. 00:00:00,426
8.9.2009. 00:00:00,425
9.9.2009. 00:00:00,426
10.9.2009. 00:00:00,426
11.9.2009. 00:00:00,425
12.9.2009. 00:00:00,426
13.9.2009. 00:00:00,424
14.9.2009. 00:00:00,425
15.9.2009. 00:00:00,426
16.9.2009. 00:00:00,427
17.9.2009. 00:00:00,424
18.9.2009. 00:00:00,423
19.9.2009. 00:00:00,424
20.9.2009. 00:00:00,427
21.9.2009. 00:00:00,427
22.9.2009. 00:00:00,427
23.9.2009. 00:00:00,427
24.9.2009. 00:00:00,427
25.9.2009. 00:00:00,426
26.9.2009. 00:00:00,426
27.9.2009. 00:00:00,427
28.9.2009. 00:00:00,427
29.9.2009. 00:00:00,428
30.9.2009. 00:00:00,429
1.10.2009. 00:00:00,430
2.10.2009. 00:00:00,430
3.10.2009. 00:00:00,429
4.10.2009. 00:00:00,430
5.10.2009. 00:00:00,430
6.10.2009. 00:00:00,431
7.10.2009. 00:00:00,430
8.10.2009. 00:00:00,431
9.10.2009. 00:00:00,431
10.10.2009. 00:00:00,430
11.10.2009. 00:00:00,429
12.10.2009. 00:00:00,427
13.10.2009. 00:00:00,422
14.10.2009. 00:00:00,423
15.10.2009. 00:00:00,424
16.10.2009. 00:00:00,424
17.10.2009. 00:00:00,423
18.10.2009. 00:00:00,422
19.10.2009. 00:00:00,418
20.10.2009. 00:00:00,418
21.10.2009. 00:00:00,418
22.10.2009. 00:00:00,418
23.10.2009. 00:00:00,419
24.10.2009. 00:00:00,421
25.10.2009. 00:00:00,421
26.10.2009. 00:00:00,419
27.10.2009. 00:00:00,418
28.10.2009. 00:00:00,417
29.10.2009. 00:00:00,416
30.10.2009. 00:00:00,416
31.10.2009. 00:00:00,415
1.11.2009. 00:00:00,414
2.11.2009. 00:00:00,413
3.11.2009. 00:00:00,412
4.11.2009. 00:00:00,415
5.11.2009. 00:00:00,416
6.11.2009. 00:00:00,415
7.11.2009. 00:00:00,415
8.11.2009. 00:00:00,409
9.11.2009. 00:00:00,406
10.11.2009. 00:00:00,402
11.11.2009. 00:00:00,398
12.11.2009. 00:00:00,393
13.11.2009. 00:00:00,389
14.11.2009. 00:00:00,381
15.11.2009. 00:00:00,378
16.11.2009. 00:00:00,378
17.11.2009. 00:00:00,378
18.11.2009. 00:00:00,377
19.11.2009. 00:00:00,378
20.11.2009. 00:00:00,381
21.11.2009. 00:00:00,383
22.11.2009. 00:00:00,385
23.11.2009. 00:00:00,388
24.11.2009. 00:00:00,390
25.11.2009. 00:00:00,390
26.11.2009. 00:00:00,391
27.11.2009. 00:00:00,393
28.11.2009. 00:00:00,394
29.11.2009. 00:00:00,396
30.11.2009. 00:00:00,396
1.12.2009. 00:00:00,397
2.12.2009. 00:00:00,398
3.12.2009. 00:00:00,398
4.12.2009. 00:00:00,398
5.12.2009. 00:00:00,399
6.12.2009. 00:00:00,400
7.12.2009. 00:00:00,399
8.12.2009. 00:00:00,399
9.12.2009. 00:00:00,398
10.12.2009. 00:00:00,398
11.12.2009. 00:00:00,398
12.12.2009. 00:00:00,398
13.12.2009. 00:00:00,398
14.12.2009. 00:00:00,397
15.12.2009. 00:00:00,395
16.12.2009. 00:00:00,394
17.12.2009. 00:00:00,393
18.12.2009. 00:00:00,391
19.12.2009. 00:00:00,388
20.12.2009. 00:00:00,386
21.12.2009. 00:00:00,387
22.12.2009. 00:00:00,390
23.12.2009. 00:00:00,384
24.12.2009. 00:00:00,367
25.12.2009. 00:00:00,358
26.12.2009. 00:00:00,366
27.12.2009. 00:00:00,338
28.12.2009. 00:00:00,332
29.12.2009. 00:00:00,316
30.12.2009. 00:00:00,300
31.12.2009. 00:00:00,290
1.1.2010. 00:00:00,284
2.1.2010. 00:00:00,271
3.1.2010. 00:00:00,273
4.1.2010. 00:00:00,280
5.1.2010. 00:00:00,278
6.1.2010. 00:00:00,279
7.1.2010. 00:00:00,285
8.1.2010. 00:00:00,270
9.1.2010. 00:00:00,260
10.1.2010. 00:00:00,261
11.1.2010. 00:00:00,266
12.1.2010. 00:00:00,267
13.1.2010. 00:00:00,264
14.1.2010. 00:00:00,260
15.1.2010. 00:00:00,261
16.1.2010. 00:00:00,263
17.1.2010. 00:00:00,262
18.1.2010. 00:00:00,271
19.1.2010. 00:00:00,281
20.1.2010. 00:00:00,285
21.1.2010. 00:00:00,279
22.1.2010. 00:00:00,288
23.1.2010. 00:00:00,295
24.1.2010. 00:00:00,295
25.1.2010. 00:00:00,300
26.1.2010. 00:00:00,309
27.1.2010. 00:00:00,322
28.1.2010. 00:00:00,332
29.1.2010. 00:00:00,341
30.1.2010. 00:00:00,347
31.1.2010. 00:00:00,355
